1985 16,"67,810","43,560",544,"56,300","22,850",379,"44,940","59,280",568,"27,380","38,280",330,0.646
1984 17,"66,450","43,130",396,"55,230","21,980",350,"43,810","58,820",496,"26,470","37,440",363,0.637
1983,"65,140","42,420",382,"53,110","21,720",260,"41,530","57,750",434,"25,170","36,730",369,0.636
1982,"64,730","42,280",394,"51,820","21,140",253,"40,110","57,960",403,"23,700","35,790",398,0.617
1981,"65,230","43,920",413,"51,940","21,060",249,"41,770","59,090",341,"23,330","35,000",240,0.592
1980,"64,730","44,760",510,"51,450","21,160",284,"41,880","59,460",494,"22,860","35,770",258,0.602
1979 18,"64,650","45,940",508,"50,900","21,200",298,"42,440","60,360",391,"22,080","36,010",303,0.597
1978,"62,900","47,120",377,"48,400","20,390",307,"41,040","61,090",345,"20,910","36,310",332,0.594
1977,"61,700","45,800",389,"46,190","19,390",280,"39,260","60,690",471,"19,240","35,760",266,0.589
1976 19,"60,450","45,510",342,"44,570","18,980",291,"38,180","59,440",385,"18,070","35,780",291,0.602
1975 20,"59,270","45,170",399,"42,930","18,460",323,"37,270","59,570",384,"17,450","35,040",292,0.588
"1974 20, 21","59,870","46,140",N,"42,850","18,020",N,"37,920","60,010",424,"16,950","35,260",283,0.588
1973,"59,440","48,240",N,"41,580","18,160",N,"39,580","62,150",N,"17,200","35,200",N,0.566
1972 22,"57,770","47,110",N,"39,470","18,760",N,"38,180","60,150",N,"16,680","34,800",N,0.579
1971 23,"56,890","45,020",N,"38,490","18,190",N,"36,820","57,270",N,"16,000","34,080",N,0.595
1970,"55,820","45,440",N,"38,270","17,340",N,"36,130","56,960",N,"15,480","33,820",N,0.594
1969,"55,270","45,970",N,"37,740","17,080",N,"37,010","54,810",N,"15,370","33,160",N,0.605
1968,"54,030","44,740",N,"35,700","17,450",N,"37,070","53,230",N,"15,010","30,950",N,0.582
1967 24,"53,220","43,470",N,"34,390","16,980",N,"36,650","51,860",N,"14,850","29,960",N,0.578
1966 25,N,"43,980",N,N,"17,610",N,N,"51,080",N,N,"29,400",N,0.576
1965 26,N,"41,390",N,N,"17,760",N,N,"48,930",N,N,"29,320",N,0.599
1964,N,"41,140",N,N,"16,700",N,N,"48,410",N,N,"28,640",N,0.591
1963,N,"43,590",N,N,"16,020",N,N,"47,120",N,N,"27,780",N,0.589
1962 27,N,"39,290",N,N,"15,690",N,N,"46,000",N,N,"27,280",N,0.593
1961 28,N,"38,080",N,N,"15,110",N,N,"45,170",N,N,"26,770",N,0.592
1960,N,"36,690",N,N,"14,910",N,N,"43,770",N,N,"26,560",N,0.607
N Not available.,,,,,,,,,,,,,
"1 A margin of error (MOE) is a measure of an estimate's variability. The larger the MOE in relation to the size of the estimate, the less reliable the estimate. This number, when added to and subtracted from the estimate, forms the 90 percent confidence interval. MOEs shown in this table are based on standard errors calculated using replicate weights beginning with 2010. Before 2010, standard errors were calculated using the generalized variance function.",,,,,,,,,,,,,
2 Implementation of 2020 Census-based population controls.,,,,,,,,,,,,,
3 Estimates reflect the implementation of an updated processing system and should be used to make comparisons to 2018 and subsequent years.,,,,,,,,,,,,,
"4 The 2014 CPS ASEC included redesigned questions for income and health insurance coverage. All of the approximately 98,000 addresses were eligible to receive the redesigned set of health insurance coverage questions. The redesigned income questions were implemented to a subsample of these 98,000 addresses using a probability split panel design. Approximately 68,000 addresses were eligible to receive a set of income questions similar to those used in the 2013 CPS ASEC, and the remaining 30,000 addresses were eligible to receive the redesigned income questions. The source of these 2013 estimates is the portion of the CPS ASEC sample that received the redesigned income questions, approximately 30,000 addresses.",,,,,,,,,,,,,
"5 The source of these 2013 estimates is the portion of the CPS ASEC sample that received the income questions consistent with the 2013 CPS ASEC, approximately 68,000 addresses.",,,,,,,,,,,,,
"6 Implementation of 2010 Census-based population controls. Beginning with 2010, standard errors in this table were calculated using replicate weights. Before 2010, standard errors were calculated using the generalized variance function.",,,,,,,,,,,,,
"7 Median earnings are calculated using $2,500 intervals. Beginning with 2009 income data, the Census Bureau expanded the upper income intervals used to calculate medians to $250,000 or more. Medians falling in the upper open-ended interval are plugged with ""$250,000."" Before 2009, the upper open-ended interval was $100,000 and a plug of ""$100,000"" was used.",,,,,,,,,,,,,
8 Data have been revised to reflect a correction to the weights in the 2005 CPS ASEC.,,,,,,,,,,,,,
"9 Implementation of a 28,000-household sample expansion.",,,,,,,,,,,,,
10 Implementation of 2000 Census-based population controls.,,,,,,,,,,,,,
"11 Full implementation of 1990 Census-based sample design and metropolitan definitions, 7,000-household sample reduction, and revised editing of responses on race.",,,,,,,,,,,,,
12 Introduction of 1990 Census-based sample design.,,,,,,,,,,,,,
"13 Data collection method changed from paper and pencil to computer-assisted interviewing. In addition, the 1994 CPS ASEC was revised to allow for the coding of different income amounts on selected questionnaire items. Limits either increased or decreased in the following categories: earnings limits increased to $999,999; Social Security limits increased to $49,999; Supplemental Security Income and public assistance limits increased to $24,999; veterans' benefits limits increased to $99,999; child support and alimony limits decreased to $49,999.",,,,,,,,,,,,,
14 Implementation of 1990 Census-based population controls.,,,,,,,,,,,,,
15 Implementation of a new CPS ASEC processing system.,,,,,,,,,,,,,
"16 Recording of amounts for earnings from longest job increased to $299,999. Full implementation of 1980 Census-based sample design.",,,,,,,,,,,,,
17 Implementation of Hispanic population weighting controls and introduction of 1980 Census-based sample design.,,,,,,,,,,,,,
18 Implementation of 1980 Census-based population controls. Questionnaire expanded to show 27 possible values from 51 possible sources of income.,,,,,,,,,,,,,
"19 First year medians were derived using both Pareto and linear interpolation. Before this year, all medians were derived using linear interpolation.",,,,,,,,,,,,,
"20 Some of these estimates were derived using Pareto interpolation and may differ from published data, which were derived using linear interpolation.",,,,,,,,,,,,,
21 Implementation of a new CPS ASEC processing system. Questionnaire expanded to ask 11 income questions.,,,,,,,,,,,,,
22 Full implementation of 1970 Census-based sample design.,,,,,,,,,,,,,
23 Introduction of 1970 Census-based sample design and population controls.,,,,,,,,,,,,,
24 Implementation of a new CPS ASEC processing system.,,,,,,,,,,,,,
25 Questionnaire expanded to ask eight income questions.,,,,,,,,,,,,,
26 Implementation of new procedures to impute missing data only.,,,,,,,,,,,,,
27 Full implementation of 1960 Census-based sample design and population controls.,,,,,,,,,,,,,
28 Introduction of 1960 Census-based sample design. Implementation of first hotdeck procedure to impute missing income entries.,,,,,,,,,,,,,
Note: Estimates may differ from previous publications due to additional rounding implemented to protect respondent privacy.,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 1961 to 2023 Annual Social and Economic Supplements (CPS ASEC).",,,,,,,,,,,,,
